"city","country","month","lat","lon","avg_temp_month","max_temp_month","min_temp_month"
"""Vienna""","""Austria""",4.0,48.2,16.37,8.596666666666666,20.6,-1.9
"""Alexandria""","""Egypt""",11.0,31.2,29.92,21.963333333333328,27.2,14.7
"""Rome""","""Italy""",2.0,41.9,12.48,8.707142857142857,18.4,0.2
"""Paris""","""France""",12.0,48.87,2.33,7.800000000000001,13.1,-1.1
"""Paris""","""France""",2.0,48.87,2.33,6.457142857142856,15.2,-2.3
"""Alexandria""","""Egypt""",8.0,31.2,29.92,27.761290322580642,34.9,23.5
"""Rome""","""Italy""",9.0,41.9,12.48,24.300000000000004,32.6,15.7
"""Paris""","""France""",5.0,48.87,2.33,14.31290322580645,25.3,5.6
"""Barcelona""","""Spain""",12.0,41.38,2.18,11.974193548387094,18.2,8.4
"""Barcelona""","""Spain""",8.0,41.38,2.18,26.07096774193549,34.0,18.2
"""Alexandria""","""Egypt""",4.0,31.2,29.92,19.369999999999997,33.1,13.0
"""Berlin""","""Germany""",5.0,52.52,13.4,13.800000000000004,26.6,4.2
"""Berlin""","""Germany""",4.0,52.52,13.4,7.913333333333333,20.0,-2.4
"""Vienna""","""Austria""",11.0,48.2,16.37,7.103333333333333,16.9,-2.2
"""Vienna""","""Austria""",1.0,48.2,16.37,0.8857142857142856,5.1,-3.7
"""Alexandria""","""Egypt""",12.0,31.2,29.92,19.04193548387097,22.9,14.1
"""Paris""","""France""",10.0,48.87,2.33,15.945161290322577,28.8,6.4
"""Barcelona""","""Spain""",3.0,41.38,2.18,13.977419354838707,22.9,3.9
"""Barcelona""","""Spain""",7.0,41.38,2.18,26.258064516129036,35.4,21.0
"""Barcelona""","""Spain""",5.0,41.38,2.18,18.074193548387097,24.4,11.8
"""Barcelona""","""Spain""",4.0,41.38,2.18,15.366666666666667,23.9,8.6
"""Alexandria""","""Egypt""",6.0,31.2,29.92,25.280000000000005,35.3,19.2
"""Vienna""","""Austria""",12.0,48.2,16.37,4.093548387096774,12.7,-10.2
"""Paris""","""France""",6.0,48.87,2.33,20.52666666666666,31.8,9.3
"""Alexandria""","""Egypt""",10.0,31.2,29.92,24.687096774193545,27.7,20.7
"""Rome""","""Italy""",3.0,41.9,12.48,12.132258064516131,21.4,5.9
"""Vienna""","""Austria""",2.0,48.2,16.37,4.692857142857142,15.7,-4.9
"""Vienna""","""Austria""",7.0,48.2,16.37,23.138709677419357,35.2,11.8
"""Alexandria""","""Egypt""",1.0,31.2,29.92,16.6,23.2,11.3
"""Berlin""","""Germany""",1.0,52.52,13.4,0.9500000000000001,4.9,-2.3
"""Rome""","""Italy""",5.0,41.9,12.48,17.674193548387098,28.7,10.8
"""Paris""","""France""",9.0,48.87,2.33,21.400000000000002,35.2,11.1
"""Barcelona""","""Spain""",6.0,41.38,2.18,23.526666666666667,31.5,16.6
"""Vienna""","""Austria""",8.0,48.2,16.37,22.0258064516129,35.6,11.6
"""Alexandria""","""Egypt""",9.0,31.2,29.92,27.229999999999997,34.2,23.5
"""Vienna""","""Austria""",5.0,48.2,16.37,13.800000000000002,25.6,3.9
"""Paris""","""France""",3.0,48.87,2.33,9.316129032258063,20.1,-0.1
"""Berlin""","""Germany""",10.0,52.52,13.4,12.645161290322582,27.0,4.8
"""Berlin""","""Germany""",6.0,52.52,13.4,19.60333333333334,31.0,7.5
"""Rome""","""Italy""",7.0,41.9,12.48,27.967741935483872,41.0,18.8
"""Berlin""","""Germany""",12.0,52.52,13.4,3.896774193548387,11.5,-6.3
"""Paris""","""France""",8.0,48.87,2.33,20.296774193548387,31.2,12.2
"""Paris""","""France""",7.0,48.87,2.33,20.287096774193547,32.0,11.4
"""Paris""","""France""",4.0,48.87,2.33,9.879999999999997,19.6,1.6
"""Berlin""","""Germany""",9.0,52.52,13.4,20.209999999999997,31.4,10.7
"""Rome""","""Italy""",4.0,41.9,12.48,12.879999999999999,22.4,3.8
"""Rome""","""Italy""",10.0,41.9,12.48,20.870967741935484,28.8,16.0
"""Berlin""","""Germany""",2.0,52.52,13.4,3.910714285714287,12.1,-4.0
"""Vienna""","""Austria""",10.0,48.2,16.37,15.067741935483872,27.4,4.6
"""Alexandria""","""Egypt""",5.0,31.2,29.92,21.92903225806451,32.9,15.8
"""Rome""","""Italy""",8.0,41.9,12.48,26.229032258064514,38.4,17.6
"""Barcelona""","""Spain""",1.0,41.38,2.18,7.142857142857143,13.2,2.3
"""Barcelona""","""Spain""",9.0,41.38,2.18,23.746666666666666,28.6,17.9
"""Berlin""","""Germany""",7.0,52.52,13.4,20.5,35.2,12.0
"""Barcelona""","""Spain""",11.0,41.38,2.18,15.27333333333333,22.3,9.9
"""Rome""","""Italy""",6.0,41.9,12.48,23.339999999999996,36.5,15.0
